Lua Diagnostics | Errors: 0 | Warnings: 1846 | EmmyLua Types: /workspace/.emmylua
Info: 0 | Hints: 374 | Total: 2220 | Time: 2026-06-19 23:08:57 | Dir: /workspace/scripts
---
WARN  | editor_mode.lua:365:8 | Unnecessary `if` statement: this condition is always truthy [unnecessary-if]
WARN  | editor_mode.lua:374:8 | Impossible `if` statement: this condition is always falsy [unnecessary-if]
WARN  | editor_mode.lua:376:12 | Impossible `if` statement: this condition is always falsy [unnecessary-if]
WARN  | editor_mode.lua:388:8 | Unnecessary `if` statement: this condition is always truthy [unnecessary-if]
WARN  | editor_mode.lua:404:12 | Impossible `if` statement: this condition is always falsy [unnecessary-if]
WARN  | editor_mode.lua:26:5 | G may be nil [need-check-nil]
WARN  | editor_mode.lua:29:8 | G may be nil [need-check-nil]
WARN  | editor_mode.lua:29:24 | G may be nil [need-check-nil]
WARN  | editor_mode.lua:30:8 | G may be nil [need-check-nil]
WARN  | editor_mode.lua:30:22 | G may be nil [need-check-nil]
WARN  | editor_mode.lua:31:8 | G may be nil [need-check-nil]
WARN  | editor_mode.lua:31:22 | G may be nil [need-check-nil]
WARN  | editor_mode.lua:32:8 | G may be nil [need-check-nil]
WARN  | editor_mode.lua:32:26 | G may be nil [need-check-nil]
WARN  | editor_mode.lua:33:8 | G may be nil [need-check-nil]
WARN  | editor_mode.lua:33:27 | G may be nil [need-check-nil]
WARN  | editor_mode.lua:34:8 | G may be nil [need-check-nil]
WARN  | editor_mode.lua:34:33 | G may be nil [need-check-nil]
WARN  | editor_mode.lua:35:8 | G may be nil [need-check-nil]
WARN  | editor_mode.lua:35:31 | G may be nil [need-check-nil]
WARN  | editor_mode.lua:36:24 | G may be nil [need-check-nil]
WARN  | editor_mode.lua:41:8 | G may be nil [need-check-nil]
WARN  | editor_mode.lua:41:29 | G may be nil [need-check-nil]
WARN  | editor_mode.lua:42:5 | G may be nil [need-check-nil]
WARN  | editor_mode.lua:52:5 | G may be nil [need-check-nil]
WARN  | editor_mode.lua:58:8 | G may be nil [need-check-nil]
WARN  | editor_mode.lua:59:9 | G may be nil [need-check-nil]
WARN  | editor_mode.lua:63:8 | G may be nil [need-check-nil]
WARN  | editor_mode.lua:63:24 | G may be nil [need-check-nil]
WARN  | editor_mode.lua:64:8 | G may be nil [need-check-nil]
WARN  | editor_mode.lua:64:27 | G may be nil [need-check-nil]
WARN  | editor_mode.lua:67:5 | G may be nil [need-check-nil]
WARN  | editor_mode.lua:68:5 | G may be nil [need-check-nil]
WARN  | editor_mode.lua:78:5 | G may be nil [need-check-nil]
WARN  | editor_mode.lua:82:8 | G may be nil [need-check-nil]
WARN  | editor_mode.lua:84:12 | G may be nil [need-check-nil]
WARN  | editor_mode.lua:85:13 | G may be nil [need-check-nil]
WARN  | editor_mode.lua:87:24 | G may be nil [need-check-nil]
WARN  | editor_mode.lua:94:8 | G may be nil [need-check-nil]
WARN  | editor_mode.lua:94:24 | G may be nil [need-check-nil]
WARN  | editor_mode.lua:97:5 | G may be nil [need-check-nil]
WARN  | editor_mode.lua:100:8 | G may be nil [need-check-nil]
WARN  | editor_mode.lua:101:9 | G may be nil [need-check-nil]
WARN  | editor_mode.lua:103:9 | G may be nil [need-check-nil]
WARN  | editor_mode.lua:108:9 | G may be nil [need-check-nil]
WARN  | editor_mode.lua:112:5 | G may be nil [need-check-nil]
WARN  | editor_mode.lua:113:5 | G may be nil [need-check-nil]
WARN  | editor_mode.lua:114:5 | G may be nil [need-check-nil]
WARN  | editor_mode.lua:117:5 | G may be nil [need-check-nil]
WARN  | editor_mode.lua:118:5 | G may be nil [need-check-nil]
WARN  | editor_mode.lua:119:5 | G may be nil [need-check-nil]
